City,Zip,Job Description,Member,Unit,Dues,Join Date, Withdrawl Date,Race,Sex,Work Num,Worksite,Age,Employement Duration
PENSACOLA,32504,READING TEACHER   6-8,Y,EEA,64.87,10/7/2005,,W,F,221,RANSOM MIDDLE,62,15
PENSACOLA,32503,LIBRARIAN/MEDIA SPEC  K-5,Y,EEA,64.87,2/19/2018,,W,F,922,ESCAMBIA WESTGATE CENTER,55,15
PENSACOLA,32506,BAND DIRECTOR    9-12,Y,EEA,64.87,9/15/1995,,W,M,281,ESCAMBIA HIGH,58,25
PENSACOLA,32503,SCHOOL COUNSELOR  6-8,Y,EEA,64.87,8/25/2020,,W,F,1221,BAILEY MIDDLE,69,32
CENTURY,32535,KINDERGARTEN-SELF CONTAINED,Y,EEA,64.87,9/1/1991,,W,F,161,BYRNEVILLE CHARTER,54,29
PENSACOLA,32514,MATHEMATICS TEACHER   9-12,Y,EEA,64.87,10/5/2018,,W,M,951,WASHINGTON HIGH,54,16
PENSACOLA,32514,CHORAL DIRECTOR    6-8,N,EEA,0.0,,,W,F,221,RANSOM MIDDLE,51,29
PENSACOLA,32514,SOCIAL STUDIES TEACHER   9-12,N,EEA,0.0,,,W,M,951,WASHINGTON HIGH,63,17
PENSACOLA,32503,FOREIGN LANGUAGE TEACHER  9-12,Y,EEA,64.87,8/29/1995,,W,F,281,ESCAMBIA HIGH,54,30
PENSACOLA,32534,3RD GRADE TCHR--SELF CONTAINED,N,EEA,0.0,7/24/2014,4/18/2016,W,F,1201,LIPSCOMB ELEMENTARY,57,16
PENSACOLA,32504,ESE-BEHAVIOR COACH,Y,EEA,64.87,9/14/2010,,W,F,411,PENSACOLA HIGH,64,16
CANTONMENT,32533,KINDERGARTEN-SELF CONTAINED,N,EEA,0.0,,,W,F,441,PINE MEADOW ELEMENTARY,39,16
PENSACOLA,32514,ESE-GIFTED SELF-CONTAINED/CLUSTER TCHR,Y,EEA,64.87,9/18/1998,,W,F,221,RANSOM MIDDLE,50,22
CANTONMENT,32533,SCIENCE TEACHER   9-12,N,EEA,0.0,,,W,M,521,TATE HIGH,49,16
PENSACOLA,32514,ESE-GIFTED SELF-CONTAINED/CLUSTER TCHR,Y,EEA,64.87,8/11/2003,,W,F,301,FERRY PASS MIDDLE,48,17
PENSACOLA,32514,SCIENCE TEACHER   9-12,N,EEA,0.0,,,W,F,281,ESCAMBIA HIGH,65,26
GULF BREEZE,32561,SCIENCE TEACHER   6-8,Y,EEA,64.87,4/1/2019,,W,F,301,FERRY PASS MIDDLE,40,16
PENSACOLA,32514,DRIVERS ED TEACHER   9-12,N,EEA,0.0,,,W,M,521,TATE HIGH,62,36
