Bit Size,Bit Type,Bit Mfg,Bit Serial Number,Depth In,Depth Out,Distance,Hrs,ROP,I,O,MD,LOC,B,G,OD,RP,Official Well Name,Operator,Latitude,Longitude
12.25,E1300,REEDHYCALOG,A237548,90,1522,1432,8,179,1,1,CT,A,X,,NO,TD,ACADIAN 0806 11-2-1MH,CAMINO NATURAL RESOURCES,35.174957,-97.794159
8.75,DSC616M-X18,REEDHYCALOG,A250604,1522,8671,7149,71.5,99.99,2,3,CT,A,X,,WT,PR,ACADIAN 0806 11-2-1MH,CAMINO NATURAL RESOURCES,35.174957,-97.794159
8.75,DS616M-X18,REEDHYCALOG,A256232,8671,10620,1949,35,55.69,1,1,WT,N,X,1,NO,BHA,ACADIAN 0806 11-2-1MH,CAMINO NATURAL RESOURCES,35.174957,-97.794159
8.75,TK73-A2,REEDHYCALOG,A258749,10620,17508,6888,116,59.38,1,1,WT,S,X,I,NO,BHA,ACADIAN 0806 11-2-1MH,CAMINO NATURAL RESOURCES,35.174957,-97.794159
8.75,TK66-F8,REEDHYCALOG,A247128,17508,19815,2307,32.5,70.98,2,2,WT,A,X,,CT,BHA,ACADIAN 0806 11-2-1MH,CAMINO NATURAL RESOURCES,35.174957,-97.794159
17.5,VTD619SHX,VAREL,4006372,100,1502,1402,8.25,169.94,1,1,NO,S,X,,NO,TD,ACTION JACKSON 0404 1-34-27MXH,MARATHON OIL,34.768872,-97.610834
12.25,FY616PF,VAREL,4011478,1502,8327,6825,101.1,67.51,1,1,WT,S,X,,NO,DMF,ACTION JACKSON 0404 1-34-27MXH,MARATHON OIL,34.768872,-97.610834
12.25,SPL616,VAREL,45901,8327,8350,23,5,4.6,0,1,LT,S,X,,NO,DMF,ACTION JACKSON 0404 1-34-27MXH,MARATHON OIL,34.768872,-97.610834
12.25,MM65D,SECURITY,12934990,8350,10407,2057,75.25,27.34,7,4,LT,N,X,,BT,TD,ACTION JACKSON 0404 1-34-27MXH,MARATHON OIL,34.768872,-97.610834
8.75,F613PF,VAREL,411057,10407,11723,1316,16,82.25,1,2,CT,S,X,,CT,BHA,ACTION JACKSON 0404 1-34-27MXH,MARATHON OIL,34.768872,-97.610834
8.75,GTD64DC,SECURITY,13024233,11723,12572,849,22.17,38.29,1,2,BT,G,X,,CT,BHA,ACTION JACKSON 0404 1-34-27MXH,MARATHON OIL,34.768872,-97.610834
8.75,TKC66-F5,REEDHYCALOG,E260715,12572,20634,8062,164.75,48.93,1,1,NO,G,X,,NO,TD,ACTION JACKSON 0404 1-34-27MXH,MARATHON OIL,34.768872,-97.610834
17.5,T606X,HUGHES,14116,80,1527,1447,47,30.79,0,0,NO,A,X,I,NO,TD,ADAMS 27-34 6MXH,APACHE,34.970739,-97.825247
12.25,D506,HUGHES,5286546,1527,7650,6123,39.5,155.01,1,3,CT,A,X,I,BT,PR,ADAMS 27-34 6MXH,APACHE,34.970739,-97.825247
12.25,MDSI613BPX,SMITH BITS,JN0462,7650,10319,2669,53.42,49.96,1,2,NO,A,X,I,NO,PR,ADAMS 27-34 6MXH,APACHE,34.970739,-97.825247
12.25,MDSI613MBPX,SMITH BITS,JN7329,10319,12757,2438,64.89,37.57,1,1,NO,A,X,I,NO,TD,ADAMS 27-34 6MXH,APACHE,34.970739,-97.825247
